subscribers,online,timestamp,date,time,percent_online
592200,40507,2021-09-01 20:20:07.235203,2021-09-01,20:20:07.235203,6.84
592208,43746,2021-09-01 20:25:02.235106,2021-09-01,20:25:02.235106,7.39
592216,43746,2021-09-01 20:30:02.187988,2021-09-01,20:30:02.187988,7.39
592221,43746,2021-09-01 20:35:02.058303,2021-09-01,20:35:02.058303,7.39
592225,43746,2021-09-01 20:40:01.947013,2021-09-01,20:40:01.947013,7.39
592231,41224,2021-09-01 20:45:02.501071,2021-09-01,20:45:02.501071,6.96
592239,41224,2021-09-01 20:50:05.151072,2021-09-01,20:50:05.151072,6.96
592241,41224,2021-09-01 20:55:02.732692,2021-09-01,20:55:02.732692,6.96
592246,41224,2021-09-01 21:00:02.945012,2021-09-01,21:00:02.945012,6.96
592250,41224,2021-09-01 21:05:05.468716,2021-09-01,21:05:05.468716,6.96
592255,41224,2021-09-01 21:10:05.317783,2021-09-01,21:10:05.317783,6.96
592262,40028,2021-09-01 21:15:08.290184,2021-09-01,21:15:08.290184,6.76
592268,40028,2021-09-01 21:20:03.449427,2021-09-01,21:20:03.449427,6.76
592273,40028,2021-09-01 21:25:02.981132,2021-09-01,21:25:02.981132,6.76
592275,40028,2021-09-01 21:30:07.350010,2021-09-01,21:30:07.350010,6.76
