subscribers,online,timestamp,date,time,percent_online
593914,38320,2021-09-03 00:00:02.524098,2021-09-03,00:00:02.524098,6.45
593929,38320,2021-09-03 00:05:02.307796,2021-09-03,00:05:02.307796,6.45
593943,38320,2021-09-03 00:10:01.984731,2021-09-03,00:10:01.984731,6.45
593952,38320,2021-09-03 00:15:01.483660,2021-09-03,00:15:01.483660,6.45
593964,38320,2021-09-03 00:20:01.891095,2021-09-03,00:20:01.891095,6.45
593967,38320,2021-09-03 00:25:01.345763,2021-09-03,00:25:01.345763,6.45
593971,38320,2021-09-03 00:30:01.861468,2021-09-03,00:30:01.861468,6.45
593984,37120,2021-09-03 00:36:29.198452,2021-09-03,00:36:29.198452,6.25
593993,37034,2021-09-03 00:43:36.860589,2021-09-03,00:43:36.860589,6.23
593996,37034,2021-09-03 00:45:01.038718,2021-09-03,00:45:01.038718,6.23
594025,38310,2021-09-03 01:05:01.582459,2021-09-03,01:05:01.582459,6.45
594038,38310,2021-09-03 01:10:02.204140,2021-09-03,01:10:02.204140,6.45
594044,38310,2021-09-03 01:15:01.725689,2021-09-03,01:15:01.725689,6.45
594054,38310,2021-09-03 01:20:01.191541,2021-09-03,01:20:01.191541,6.45
594069,38310,2021-09-03 01:25:02.180141,2021-09-03,01:25:02.180141,6.45
594080,38310,2021-09-03 01:30:01.276280,2021-09-03,01:30:01.276280,6.45
594092,38310,2021-09-03 01:35:01.684510,2021-09-03,01:35:01.684510,6.45
594098,38310,2021-09-03 01:40:01.225100,2021-09-03,01:40:01.225100,6.45
594110,38310,2021-09-03 01:45:01.861624,2021-09-03,01:45:01.861624,6.45
594124,38269,2021-09-03 01:50:01.591072,2021-09-03,01:50:01.591072,6.44
594135,38269,2021-09-03 01:55:01.186931,2021-09-03,01:55:01.186931,6.44
