subscribers,online,timestamp,date,time,percent_online
593141,36617,2021-09-02 14:20:04.975284,2021-09-02,14:20:04.975284,6.17
593146,36617,2021-09-02 14:25:01.752765,2021-09-02,14:25:01.752765,6.17
593149,36303,2021-09-02 14:30:02.025136,2021-09-02,14:30:02.025136,6.12
593156,36303,2021-09-02 14:35:03.106254,2021-09-02,14:35:03.106254,6.12
593162,36303,2021-09-02 14:40:05.357068,2021-09-02,14:40:05.357068,6.12
593171,36303,2021-09-02 14:45:04.400404,2021-09-02,14:45:04.400404,6.12
593177,35896,2021-09-02 14:50:02.396019,2021-09-02,14:50:02.396019,6.05
593181,35896,2021-09-02 14:55:05.302428,2021-09-02,14:55:05.302428,6.05
593185,35896,2021-09-02 15:00:03.947152,2021-09-02,15:00:03.947152,6.05
593188,34890,2021-09-02 15:05:11.382442,2021-09-02,15:05:11.382442,5.88
593197,34890,2021-09-02 15:10:05.155014,2021-09-02,15:10:05.155014,5.88
593200,35878,2021-09-02 15:15:05.754203,2021-09-02,15:15:05.754203,6.05
593206,35878,2021-09-02 15:20:05.250907,2021-09-02,15:20:05.250907,6.05
593215,35878,2021-09-02 15:25:02.924982,2021-09-02,15:25:02.924982,6.05
593220,35282,2021-09-02 15:30:04.045916,2021-09-02,15:30:04.045916,5.95
593226,35282,2021-09-02 15:35:07.142626,2021-09-02,15:35:07.142626,5.95
593228,35282,2021-09-02 15:40:04.759821,2021-09-02,15:40:04.759821,5.95
593238,35033,2021-09-02 15:45:07.824514,2021-09-02,15:45:07.824514,5.91
593245,34474,2021-09-02 15:50:06.469788,2021-09-02,15:50:06.469788,5.81
593258,34474,2021-09-02 15:55:03.421728,2021-09-02,15:55:03.421728,5.81
593265,34474,2021-09-02 16:00:04.596603,2021-09-02,16:00:04.596603,5.81
593268,33926,2021-09-02 16:05:03.616913,2021-09-02,16:05:03.616913,5.72
593274,33926,2021-09-02 16:10:02.618714,2021-09-02,16:10:02.618714,5.72
593281,33926,2021-09-02 16:15:02.911513,2021-09-02,16:15:02.911513,5.72
593288,34311,2021-09-02 16:20:02.546650,2021-09-02,16:20:02.546650,5.78
593298,34311,2021-09-02 16:25:10.595394,2021-09-02,16:25:10.595394,5.78
593303,34311,2021-09-02 16:30:04.147552,2021-09-02,16:30:04.147552,5.78
593307,34278,2021-09-02 16:35:02.478947,2021-09-02,16:35:02.478947,5.78
593310,33659,2021-09-02 16:40:12.419818,2021-09-02,16:40:12.419818,5.67
593315,33659,2021-09-02 16:45:06.011362,2021-09-02,16:45:06.011362,5.67
593325,33659,2021-09-02 16:50:10.746378,2021-09-02,16:50:10.746378,5.67
593328,33659,2021-09-02 16:55:03.769220,2021-09-02,16:55:03.769220,5.67
593335,33659,2021-09-02 17:00:07.754871,2021-09-02,17:00:07.754871,5.67
593341,33659,2021-09-02 17:05:07.110222,2021-09-02,17:05:07.110222,5.67
593343,33659,2021-09-02 17:10:05.569641,2021-09-02,17:10:05.569641,5.67
593347,33659,2021-09-02 17:15:05.971734,2021-09-02,17:15:05.971734,5.67
593352,33659,2021-09-02 17:20:06.049560,2021-09-02,17:20:06.049560,5.67
593353,24003,2021-09-02 17:25:13.408765,2021-09-02,17:25:13.408765,4.05
593359,21212,2021-09-02 17:30:08.614175,2021-09-02,17:30:08.614175,3.57
593361,16116,2021-09-02 17:35:09.670449,2021-09-02,17:35:09.670449,2.72
593364,16116,2021-09-02 17:40:02.983025,2021-09-02,17:40:02.983025,2.72
593368,16116,2021-09-02 17:45:01.996980,2021-09-02,17:45:01.996980,2.72
593373,33319,2021-09-02 17:50:01.872189,2021-09-02,17:50:01.872189,5.62
593374,33319,2021-09-02 17:55:02.201144,2021-09-02,17:55:02.201144,5.62
593374,33319,2021-09-02 18:00:02.239446,2021-09-02,18:00:02.239446,5.62
593378,33319,2021-09-02 18:05:05.173832,2021-09-02,18:05:05.173832,5.62
593383,27903,2021-09-02 18:10:05.984076,2021-09-02,18:10:05.984076,4.7
593387,27903,2021-09-02 18:15:02.789258,2021-09-02,18:15:02.789258,4.7
593394,27903,2021-09-02 18:20:03.760131,2021-09-02,18:20:03.760131,4.7
593399,27903,2021-09-02 18:25:06.105160,2021-09-02,18:25:06.105160,4.7
593402,27903,2021-09-02 18:30:05.616522,2021-09-02,18:30:05.616522,4.7
