subscribers,online,timestamp,date,time,percent_online
593408,27903,2021-09-02 18:35:01.750386,2021-09-02,18:35:01.750386,4.7
593418,27903,2021-09-02 18:40:02.313522,2021-09-02,18:40:02.313522,4.7
593422,27739,2021-09-02 18:45:03.587084,2021-09-02,18:45:03.587084,4.67
593427,27739,2021-09-02 18:50:08.966816,2021-09-02,18:50:08.966816,4.67
593432,27930,2021-09-02 18:55:02.192373,2021-09-02,18:55:02.192373,4.71
593436,27930,2021-09-02 19:00:03.233086,2021-09-02,19:00:03.233086,4.71
593441,27930,2021-09-02 19:05:05.902936,2021-09-02,19:05:05.902936,4.71
593444,32623,2021-09-02 19:10:03.552081,2021-09-02,19:10:03.552081,5.5
593453,32623,2021-09-02 19:15:02.633315,2021-09-02,19:15:02.633315,5.5
593456,32623,2021-09-02 19:20:04.761811,2021-09-02,19:20:04.761811,5.5
593461,32623,2021-09-02 19:25:02.892482,2021-09-02,19:25:02.892482,5.5
593465,32623,2021-09-02 19:30:02.601075,2021-09-02,19:30:02.601075,5.5
593470,32623,2021-09-02 19:35:02.275203,2021-09-02,19:35:02.275203,5.5
593482,32111,2021-09-02 19:40:02.497007,2021-09-02,19:40:02.497007,5.41
593489,32111,2021-09-02 19:45:03.264222,2021-09-02,19:45:03.264222,5.41
593496,32111,2021-09-02 19:50:02.745513,2021-09-02,19:50:02.745513,5.41
593499,32111,2021-09-02 19:55:03.179372,2021-09-02,19:55:03.179372,5.41
593504,30679,2021-09-02 20:00:02.889753,2021-09-02,20:00:02.889753,5.17
593514,30679,2021-09-02 20:05:02.852694,2021-09-02,20:05:02.852694,5.17
593522,30679,2021-09-02 20:10:02.863982,2021-09-02,20:10:02.863982,5.17
593525,30679,2021-09-02 20:15:08.389184,2021-09-02,20:15:08.389184,5.17
593532,30679,2021-09-02 20:20:05.553722,2021-09-02,20:20:05.553722,5.17
593541,41075,2021-09-02 20:25:05.249238,2021-09-02,20:25:05.249238,6.92
593551,41075,2021-09-02 20:30:04.881126,2021-09-02,20:30:04.881126,6.92
593559,41075,2021-09-02 20:35:03.633439,2021-09-02,20:35:03.633439,6.92
593568,41075,2021-09-02 20:40:04.853895,2021-09-02,20:40:04.853895,6.92
593572,41075,2021-09-02 20:45:02.990357,2021-09-02,20:45:02.990357,6.92
593576,41075,2021-09-02 20:50:03.317207,2021-09-02,20:50:03.317207,6.92
593583,41075,2021-09-02 20:55:03.628426,2021-09-02,20:55:03.628426,6.92
593586,41075,2021-09-02 21:00:03.348771,2021-09-02,21:00:03.348771,6.92
593591,41075,2021-09-02 21:05:04.560303,2021-09-02,21:05:04.560303,6.92
593601,41075,2021-09-02 21:10:03.777423,2021-09-02,21:10:03.777423,6.92
593602,41075,2021-09-02 21:15:02.841323,2021-09-02,21:15:02.841323,6.92
593604,41075,2021-09-02 21:20:08.974723,2021-09-02,21:20:08.974723,6.92
593611,41075,2021-09-02 21:25:03.345479,2021-09-02,21:25:03.345479,6.92
593618,41075,2021-09-02 21:30:03.278169,2021-09-02,21:30:03.278169,6.92
593626,41075,2021-09-02 21:35:03.260249,2021-09-02,21:35:03.260249,6.92
593636,41075,2021-09-02 21:40:04.552172,2021-09-02,21:40:04.552172,6.92
593640,41075,2021-09-02 21:45:03.496689,2021-09-02,21:45:03.496689,6.92
593644,41075,2021-09-02 21:50:04.722955,2021-09-02,21:50:04.722955,6.92
593649,41075,2021-09-02 21:55:02.355536,2021-09-02,21:55:02.355536,6.92
593653,41075,2021-09-02 22:00:04.533286,2021-09-02,22:00:04.533286,6.92
593665,41075,2021-09-02 22:05:03.829584,2021-09-02,22:05:03.829584,6.92
593675,41075,2021-09-02 22:10:08.423123,2021-09-02,22:10:08.423123,6.92
593680,41075,2021-09-02 22:15:05.244790,2021-09-02,22:15:05.244790,6.92
593894,38320,2021-09-02 23:50:04.385249,2021-09-02,23:50:04.385249,6.45
593909,38320,2021-09-02 23:55:02.244833,2021-09-02,23:55:02.244833,6.45
